text,label
"Continue NSAIDs as needed, encourage early mobilization, and avoid routine imaging in the absence of red flags, per acute low back pain guidance.",Plan
Speech is normal rate and rhythm.,Objective
Urinalysis shows leukocyte esterase and nitrites positive.,Objective
"Abdomen is soft, non-tender, non-distended.",Objective
Lumbar paraspinal tenderness noted on palpation.,Objective
Oxygen saturation is 95% on room air.,Objective
Respiratory rate is 19 breaths per minute.,Objective
"Type 2 diabetes mellitus, poorly controlled with A1c of 8.9%.",Assessment
Do you have any other concerns before you go?,Other
How has your family been doing lately?,Other
"Gastroesophageal reflux disease, symptomatic.",Assessment
Pollen season seems to be triggering my symptoms.,Subjective
"switch to an alternative agent, reinforce dietary counseling, and recheck A1c in 3 months, consistent with ADA glycemic-target guidance.",Plan
Acute uncomplicated viral upper respiratory infection.,Assessment
Fasting glucose today is 203 mg/dL.,Objective
No lower extremity edema noted on exam.,Objective
No epigastric tenderness on palpation.,Objective
"Foot exam shows intact sensation bilaterally, no ulcers.",Objective
No numbness or tingling in my feet.,Subjective
"start an additional agent inhaled corticosteroid therapy and reassess symptom control in 4 weeks, per stepwise asthma management guidance.",Plan
No epigastric tenderness on palpation.,Objective
"Gastroesophageal reflux disease, symptomatic.",Assessment
"Generalized anxiety disorder, poorly controlled.",Assessment
Respiratory rate is 16 breaths per minute.,Objective
Urinalysis shows leukocyte esterase and nitrites positive.,Objective
Acute uncomplicated viral upper respiratory infection.,Assessment
Gait is normal.,Objective
"Continue lifestyle modification (sodium restriction, exercise) and switch to an alternative agent, per first-line antihypertensive guidance for stage 1 hypertension.",Plan
Over-the-counter ibuprofen has helped a little.,Subjective
"Continue NSAIDs as needed, encourage early mobilization, and avoid routine imaging in the absence of red flags, per acute low back pain guidance.",Plan
My symptoms seem to be improving slightly since yesterday.,Subjective
Lungs are clear to auscultation bilaterally.,Objective
Acute nonspecific low back pain without red-flag features.,Assessment
Gait is normal.,Objective
Is there a good number to reach you for lab results?,Other
"Weight is 212 lbs, BMI 23.4.",Objective
Mild expiratory wheeze noted bilaterally.,Objective
No epigastric tenderness on palpation.,Objective
"Gastroesophageal reflux disease, symptomatic.",Assessment
"PHQ-9 score is 16, GAD-7 score is 7.",Objective
No costovertebral angle tenderness.,Objective
Lungs are clear to auscultation bilaterally.,Objective
The nurse will be in shortly to draw some blood.,Other
Repeat blood pressure reading after five minutes rest is 138/74 mmHg.,Objective
Oxygen saturation is 99% on room air.,Objective
Fasting glucose today is 143 mg/dL.,Objective
Urinalysis shows leukocyte esterase and nitrites positive.,Objective
I ran out of my blood pressure medication about two weeks ago.,Subjective
"Type 2 diabetes mellitus, well controlled with A1c of 9.1%.",Assessment
No costovertebral angle tenderness.,Objective
"Type 2 diabetes mellitus, poorly controlled with A1c of 9.0%.",Assessment
"increase the current dose inhaled corticosteroid therapy and reassess symptom control in 4 weeks, per stepwise asthma management guidance.",Plan
The pain is worse with bending forward.,Subjective
No flank pain.,Subjective
"Blood pressure today is 155/83 mmHg, heart rate 73 bpm.",Objective
"Essential hypertension, currently well controlled on current regimen.",Assessment
Start a short course of first-line oral antibiotic therapy per local antibiogram and uncomplicated-UTI treatment guidance.,Plan
Acute nonspecific low back pain without red-flag features.,Assessment
No epigastric tenderness on palpation.,Objective
"Cardiovascular exam reveals regular rate and rhythm, no murmurs.",Objective
Affect is mildly anxious but appropriate.,Objective
Urinalysis shows leukocyte esterase and nitrites positive.,Objective
Fasting glucose today is 115 mg/dL.,Objective
Straight leg raise test is negative bilaterally.,Objective
Repeat blood pressure reading after five minutes rest is 148/86 mmHg.,Objective
Let's go ahead and schedule your follow-up for next month.,Other
Temperature is 100.6 F.,Objective
"Start a trial of once-daily proton pump inhibitor and recommend lifestyle modification (weight management, avoiding late meals), per GERD management guidance.",Plan
"Abdomen is soft, non-tender, non-distended.",Objective
"Thanks for coming in today, how have you been overall?",Other
"increase the current dose inhaled corticosteroid therapy and reassess symptom control in 4 weeks, per stepwise asthma management guidance.",Plan
I've been trying to follow the diet plan but it's been difficult.,Subjective
"Weight is 144 lbs, stable.",Objective
Acute uncomplicated viral upper respiratory infection.,Assessment
"increase the current dose and referral for cognitive behavioral therapy, consistent with first-line generalized anxiety disorder management guidance.",Plan
No numbness or weakness in my legs.,Subjective
"Weight is 210 lbs, unchanged from last visit.",Objective
Speech is normal rate and rhythm.,Objective
Gait is normal.,Objective
"Start a trial of once-daily proton pump inhibitor and recommend lifestyle modification (weight management, avoiding late meals), per GERD management guidance.",Plan
"Cardiovascular exam reveals regular rate and rhythm, no murmurs.",Objective
Oxygen saturation is 98% on room air.,Objective
Speech is normal rate and rhythm.,Objective
It's good to see you again.,Other
Any changes to your insurance information since your last visit?,Other
Lumbar paraspinal tenderness noted on palpation.,Objective
"Weight is 225 lbs, stable.",Objective
Lower extremity strength and sensation are intact.,Objective
"Type 2 diabetes mellitus, moderately controlled with A1c of 8.2%.",Assessment
Temperature is 99.1 F.,Objective
"Type 2 diabetes mellitus, moderately controlled with A1c of 7.3%.",Assessment
No lower extremity edema noted on exam.,Objective
Straight leg raise test is negative bilaterally.,Objective
No lower extremity edema noted on exam.,Objective
"Weight is 149 lbs, stable.",Objective
"continue the current regimen and referral for cognitive behavioral therapy, consistent with first-line generalized anxiety disorder management guidance.",Plan
"Weight is 199 lbs, stable.",Objective
Lungs are clear to auscultation bilaterally.,Objective
Uncomplicated acute cystitis.,Assessment
"Type 2 diabetes mellitus, well controlled with A1c of 9.3%.",Assessment
My worries feel hard to control most days.,Subjective
Mild expiratory wheeze noted bilaterally.,Objective
Respiratory rate is 21 breaths per minute.,Objective
Acute nonspecific low back pain without red-flag features.,Assessment
"Gastroesophageal reflux disease, symptomatic.",Assessment
Is there a good number to reach you for lab results?,Other
How has your family been doing lately?,Other
Gait is normal.,Objective
"Symptomatic management with fluids and rest; antibiotics are not indicated given absence of bacterial features, consistent with URI antibiotic-stewardship guidance.",Plan
Did you find parking okay today?,Other
Lower extremity strength and sensation are intact.,Objective
"increase the current dose inhaled corticosteroid therapy and reassess symptom control in 4 weeks, per stepwise asthma management guidance.",Plan
Acute nonspecific low back pain without red-flag features.,Assessment
"Continue lifestyle modification (sodium restriction, exercise) and increase the current dose, per first-line antihypertensive guidance for stage 2 hypertension.",Plan
Fasting glucose today is 200 mg/dL.,Objective
"Weight is 216 lbs, BMI 30.4.",Objective
The nurse will be in shortly to draw some blood.,Other
Respiratory rate is 22 breaths per minute.,Objective
"Continue lifestyle modification (sodium restriction, exercise) and switch to an alternative agent, per first-line antihypertensive guidance for stage 2 hypertension.",Plan
No costovertebral angle tenderness.,Objective
"Temperature is 99.8 F, oxygen saturation 98% on room air.",Objective
"Peak flow today is 452 L/min, 65% of personal best.",Objective
"Symptomatic management with fluids and rest; antibiotics are not indicated given absence of bacterial features, consistent with URI antibiotic-stewardship guidance.",Plan
"continue the current regimen and referral for cognitive behavioral therapy, consistent with first-line generalized anxiety disorder management guidance.",Plan
Uncomplicated acute cystitis.,Assessment
Temperature is 99.9 F.,Objective
No epigastric tenderness on palpation.,Objective
Lungs are clear to auscultation bilaterally.,Objective
No costovertebral angle tenderness.,Objective
Mild expiratory wheeze noted bilaterally.,Objective
Oropharynx is mildly erythematous without exudate.,Objective
"Temperature is 98.9 F, oxygen saturation 99% on room air.",Objective
Do you have any questions before we wrap up?,Other
"Mild persistent asthma, currently well controlled.",Assessment
Temperature is 98.4 F.,Objective
"start an additional agent inhaled corticosteroid therapy and reassess symptom control in 4 weeks, per stepwise asthma management guidance.",Plan
Did you find parking okay today?,Other
Mild expiratory wheeze noted bilaterally.,Objective
Lower extremity strength and sensation are intact.,Objective
"Peak flow today is 347 L/min, 65% of personal best.",Objective
"PHQ-9 score is 12, GAD-7 score is 6.",Objective
I've had burning with urination for the past two days.,Subjective
Lumbar paraspinal tenderness noted on palpation.,Objective
Let me know if you need a note for work.,Other
I strained my lower back lifting something heavy three days ago.,Subjective
"Temperature is 98.4 F, oxygen saturation 98% on room air.",Objective
Lower extremity strength and sensation are intact.,Objective
"Essential hypertension, currently well controlled on current regimen.",Assessment
Acute nonspecific low back pain without red-flag features.,Assessment
I'll send the referral over to the specialist's office.,Other
No cervical lymphadenopathy noted.,Objective
Straight leg raise test is negative bilaterally.,Objective
I've been feeling more anxious and having trouble sleeping.,Subjective
No lower extremity edema noted on exam.,Objective
The front desk will help you with your next appointment.,Other
Repeat blood pressure reading after five minutes rest is 149/75 mmHg.,Objective
Lungs are clear to auscultation bilaterally.,Objective
"Essential hypertension, currently moderately controlled on current regimen.",Assessment
"PHQ-9 score is 15, GAD-7 score is 8.",Objective
I've had a runny nose and sore throat for about four days.,Subjective
"Temperature is 98.5 F, oxygen saturation 99% on room air.",Objective
"Cardiovascular exam reveals regular rate and rhythm, no murmurs.",Objective
Temperature is 100.3 F.,Objective
"Gastroesophageal reflux disease, symptomatic.",Assessment
Speech is normal rate and rhythm.,Objective
Uncomplicated acute cystitis.,Assessment
Hemoglobin A1c is 8.8%.,Objective
Start a short course of first-line oral antibiotic therapy per local antibiogram and uncomplicated-UTI treatment guidance.,Plan
"Continue lifestyle modification (sodium restriction, exercise) and increase the current dose, per first-line antihypertensive guidance for stage 1 hypertension.",Plan
No costovertebral angle tenderness.,Objective
"continue the current regimen inhaled corticosteroid therapy and reassess symptom control in 4 weeks, per stepwise asthma management guidance.",Plan
Start a short course of first-line oral antibiotic therapy per local antibiogram and uncomplicated-UTI treatment guidance.,Plan
"Cardiovascular exam reveals regular rate and rhythm, no murmurs.",Objective
"Start a trial of once-daily proton pump inhibitor and recommend lifestyle modification (weight management, avoiding late meals), per GERD management guidance.",Plan
My blood sugar readings at home have been running a bit high.,Subjective
Oxygen saturation is 95% on room air.,Objective
Gait is normal.,Objective
No lower extremity edema noted on exam.,Objective
"switch to an alternative agent, reinforce dietary counseling, and recheck A1c in 3 months, consistent with ADA glycemic-target guidance.",Plan
Acute nonspecific low back pain without red-flag features.,Assessment
Oxygen saturation is 95% on room air.,Objective
"switch to an alternative agent inhaled corticosteroid therapy and reassess symptom control in 4 weeks, per stepwise asthma management guidance.",Plan
Acute uncomplicated viral upper respiratory infection.,Assessment
Symptoms have been present for at least six weeks now.,Subjective
"Weight is 158 lbs, BMI 31.7.",Objective
"switch to an alternative agent and referral for cognitive behavioral therapy, consistent with first-line generalized anxiety disorder management guidance.",Plan
Affect is mildly anxious but appropriate.,Objective
"PHQ-9 score is 11, GAD-7 score is 9.",Objective
"Abdomen is soft, non-tender, non-distended.",Objective
"Continue lifestyle modification (sodium restriction, exercise) and increase the current dose, per first-line antihypertensive guidance for stage 2 hypertension.",Plan
I've been having occasional headaches in the morning.,Subjective
"Foot exam shows intact sensation bilaterally, no ulcers.",Objective
"Mild persistent asthma, currently moderately controlled.",Assessment
No lower extremity edema noted on exam.,Objective
"Take care, and we'll see you at the next visit.",Other
Start a short course of first-line oral antibiotic therapy per local antibiogram and uncomplicated-UTI treatment guidance.,Plan
"I have a mild cough, mostly dry.",Subjective
"Continue NSAIDs as needed, encourage early mobilization, and avoid routine imaging in the absence of red flags, per acute low back pain guidance.",Plan
Hemoglobin A1c is 7.6%.,Objective
No cervical lymphadenopathy noted.,Objective
"Mild persistent asthma, currently moderately controlled.",Assessment
"Cardiovascular exam reveals regular rate and rhythm, no murmurs.",Objective
"switch to an alternative agent, reinforce dietary counseling, and recheck A1c in 3 months, consistent with ADA glycemic-target guidance.",Plan
Temperature is 100.0 F.,Objective
Lumbar paraspinal tenderness noted on palpation.,Objective
Oropharynx is mildly erythematous without exudate.,Objective
"Type 2 diabetes mellitus, well controlled with A1c of 7.4%.",Assessment
"Peak flow today is 355 L/min, 87% of personal best.",Objective
"Weight is 219 lbs, stable.",Objective
"switch to an alternative agent, reinforce dietary counseling, and recheck A1c in 3 months, consistent with ADA glycemic-target guidance.",Plan
"Blood pressure today is 147/90 mmHg, heart rate 96 bpm.",Objective
"Weight is 187 lbs, BMI 24.8.",Objective
Affect is mildly anxious but appropriate.,Objective
"Weight is 204 lbs, stable.",Objective
Straight leg raise test is negative bilaterally.,Objective
Acute nonspecific low back pain without red-flag features.,Assessment
I'll send the referral over to the specialist's office.,Other
"Essential hypertension, currently poorly controlled on current regimen.",Assessment
Oxygen saturation is 95% on room air.,Objective
"Gastroesophageal reflux disease, symptomatic.",Assessment
No cervical lymphadenopathy noted.,Objective
"Continue lifestyle modification (sodium restriction, exercise) and switch to an alternative agent, per first-line antihypertensive guidance for stage 1 hypertension.",Plan
Urinalysis shows leukocyte esterase and nitrites positive.,Objective
"PHQ-9 score is 8, GAD-7 score is 8.",Objective
Hemoglobin A1c is 9.0%.,Objective
"Weight is 202 lbs, unchanged from last visit.",Objective
"Essential hypertension, currently well controlled on current regimen.",Assessment
"Blood pressure today is 147/78 mmHg, heart rate 62 bpm.",Objective
"Generalized anxiety disorder, poorly controlled.",Assessment
"Thanks for coming in today, how have you been overall?",Other
"Cardiovascular exam reveals regular rate and rhythm, no murmurs.",Objective
"Start a trial of once-daily proton pump inhibitor and recommend lifestyle modification (weight management, avoiding late meals), per GERD management guidance.",Plan
Fasting glucose today is 154 mg/dL.,Objective
"PHQ-9 score is 7, GAD-7 score is 12.",Objective
I haven't been checking my blood pressure at home.,Subjective
No shortness of breath.,Subjective
Repeat blood pressure reading after five minutes rest is 137/75 mmHg.,Objective
Hemoglobin A1c is 7.0%.,Objective
"Symptomatic management with fluids and rest; antibiotics are not indicated given absence of bacterial features, consistent with URI antibiotic-stewardship guidance.",Plan
"switch to an alternative agent, reinforce dietary counseling, and recheck A1c in 3 months, consistent with ADA glycemic-target guidance.",Plan
Oropharynx is mildly erythematous without exudate.,Objective
No cervical lymphadenopathy noted.,Objective
Mild expiratory wheeze noted bilaterally.,Objective
"Continue NSAIDs as needed, encourage early mobilization, and avoid routine imaging in the absence of red flags, per acute low back pain guidance.",Plan
Oropharynx is mildly erythematous without exudate.,Objective
Oropharynx is mildly erythematous without exudate.,Objective
Repeat blood pressure reading after five minutes rest is 148/88 mmHg.,Objective
Acute uncomplicated viral upper respiratory infection.,Assessment
Hemoglobin A1c is 7.6%.,Objective
"Mild persistent asthma, currently moderately controlled.",Assessment
Straight leg raise test is negative bilaterally.,Objective
No cervical lymphadenopathy noted.,Objective
"Peak flow today is 372 L/min, 63% of personal best.",Objective
Straight leg raise test is negative bilaterally.,Objective
"Essential hypertension, currently poorly controlled on current regimen.",Assessment
"Weight is 155 lbs, BMI 31.5.",Objective
"Generalized anxiety disorder, moderately controlled.",Assessment
"Generalized anxiety disorder, moderately controlled.",Assessment
I've also noticed increased urinary frequency.,Subjective
I've noticed increased thirst over the past month.,Subjective
Straight leg raise test is negative bilaterally.,Objective
"Start a trial of once-daily proton pump inhibitor and recommend lifestyle modification (weight management, avoiding late meals), per GERD management guidance.",Plan
Any changes to your insurance information since your last visit?,Other
"Gastroesophageal reflux disease, symptomatic.",Assessment
Start a short course of first-line oral antibiotic therapy per local antibiogram and uncomplicated-UTI treatment guidance.,Plan
Speech is normal rate and rhythm.,Objective
Hemoglobin A1c is 8.5%.,Objective
No costovertebral angle tenderness.,Objective
"Generalized anxiety disorder, moderately controlled.",Assessment
Oropharynx is mildly erythematous without exudate.,Objective
No fever or chills.,Subjective
Symptoms are worse after eating spicy or fatty food.,Subjective
Do you have any questions before we wrap up?,Other
"Weight is 201 lbs, unchanged from last visit.",Objective
Uncomplicated acute cystitis.,Assessment
Urinalysis shows leukocyte esterase and nitrites positive.,Objective
Mild expiratory wheeze noted bilaterally.,Objective
Uncomplicated acute cystitis.,Assessment
"continue the current regimen and referral for cognitive behavioral therapy, consistent with first-line generalized anxiety disorder management guidance.",Plan
"Blood pressure today is 130/87 mmHg, heart rate 74 bpm.",Objective
"Abdomen is soft, non-tender, non-distended.",Objective
It's good to see you again.,Other
No cervical lymphadenopathy noted.,Objective
"Abdomen is soft, non-tender, non-distended.",Objective
I wake up coughing about twice a week.,Subjective
"Continue NSAIDs as needed, encourage early mobilization, and avoid routine imaging in the absence of red flags, per acute low back pain guidance.",Plan
Lumbar paraspinal tenderness noted on palpation.,Objective
Gait is normal.,Objective
"Foot exam shows intact sensation bilaterally, no ulcers.",Objective
Let's go ahead and schedule your follow-up for next month.,Other
Uncomplicated acute cystitis.,Assessment
I've been under a lot of stress at work lately.,Subjective
"increase the current dose, reinforce dietary counseling, and recheck A1c in 3 months, consistent with ADA glycemic-target guidance.",Plan
No recent emergency room visits.,Subjective
No unintentional weight loss.,Subjective
"Temperature is 99.4 F, oxygen saturation 96% on room air.",Objective
Repeat blood pressure reading after five minutes rest is 134/88 mmHg.,Objective
"Peak flow today is 431 L/min, 63% of personal best.",Objective
"Start a trial of once-daily proton pump inhibitor and recommend lifestyle modification (weight management, avoiding late meals), per GERD management guidance.",Plan
Lower extremity strength and sensation are intact.,Objective
The front desk will help you with your next appointment.,Other
"PHQ-9 score is 6, GAD-7 score is 13.",Objective
"No fever at home, just some nasal congestion.",Subjective
No epigastric tenderness on palpation.,Objective
Gait is normal.,Objective
Lumbar paraspinal tenderness noted on palpation.,Objective
Respiratory rate is 16 breaths per minute.,Objective
"Essential hypertension, currently moderately controlled on current regimen.",Assessment
No epigastric tenderness on palpation.,Objective
"Symptomatic management with fluids and rest; antibiotics are not indicated given absence of bacterial features, consistent with URI antibiotic-stewardship guidance.",Plan
Mild expiratory wheeze noted bilaterally.,Objective
No loss of bowel or bladder control.,Subjective
Temperature is 99.9 F.,Objective
I've been using my rescue inhaler more often this week.,Subjective
No thoughts of self-harm.,Subjective
Repeat blood pressure reading after five minutes rest is 127/78 mmHg.,Objective
"switch to an alternative agent and referral for cognitive behavioral therapy, consistent with first-line generalized anxiety disorder management guidance.",Plan
Speech is normal rate and rhythm.,Objective
I've had heartburn most nights over the past two weeks.,Subjective
"Continue NSAIDs as needed, encourage early mobilization, and avoid routine imaging in the absence of red flags, per acute low back pain guidance.",Plan
"Blood pressure today is 139/83 mmHg, heart rate 82 bpm.",Objective
"Blood pressure today is 168/81 mmHg, heart rate 77 bpm.",Objective
I feel a bit dizzy when I stand up quickly.,Subjective
Fasting glucose today is 111 mg/dL.,Objective
"Weight is 193 lbs, unchanged from last visit.",Objective
Affect is mildly anxious but appropriate.,Objective
"Foot exam shows intact sensation bilaterally, no ulcers.",Objective
"Take care, and we'll see you at the next visit.",Other
"Mild persistent asthma, currently poorly controlled.",Assessment
"Mild persistent asthma, currently moderately controlled.",Assessment
"Foot exam shows intact sensation bilaterally, no ulcers.",Objective
"start an additional agent and referral for cognitive behavioral therapy, consistent with first-line generalized anxiety disorder management guidance.",Plan
Urinalysis shows leukocyte esterase and nitrites positive.,Objective
"Weight is 143 lbs, BMI 24.6.",Objective
Acute uncomplicated viral upper respiratory infection.,Assessment
"Continue NSAIDs as needed, encourage early mobilization, and avoid routine imaging in the absence of red flags, per acute low back pain guidance.",Plan
Let me know if you need a note for work.,Other
No cervical lymphadenopathy noted.,Objective
Lower extremity strength and sensation are intact.,Objective
We'll get you checked out at the front desk.,Other
Oropharynx is mildly erythematous without exudate.,Objective
We'll get you checked out at the front desk.,Other
No lower extremity edema noted on exam.,Objective
"Mild persistent asthma, currently moderately controlled.",Assessment
No difficulty swallowing.,Subjective
"Abdomen is soft, non-tender, non-distended.",Objective
"Abdomen is soft, non-tender, non-distended.",Objective
Lumbar paraspinal tenderness noted on palpation.,Objective
"Peak flow today is 454 L/min, 62% of personal best.",Objective
"Weight is 164 lbs, unchanged from last visit.",Objective
Respiratory rate is 17 breaths per minute.,Objective
"Foot exam shows intact sensation bilaterally, no ulcers.",Objective
No costovertebral angle tenderness.,Objective
Lungs are clear to auscultation bilaterally.,Objective
"Temperature is 98.5 F, oxygen saturation 95% on room air.",Objective
Lower extremity strength and sensation are intact.,Objective
"Peak flow today is 411 L/min, 88% of personal best.",Objective
Lungs are clear to auscultation bilaterally.,Objective
Speech is normal rate and rhythm.,Objective
